GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,1001,"Autauga County, Alabama",53944,*****
0500000US01003,1003,"Baldwin County, Alabama",179523,*****
0500000US01005,1005,"Barbour County, Alabama",27546,*****
0500000US01007,1007,"Bibb County, Alabama",22746,*****
0500000US01009,1009,"Blount County, Alabama",57140,*****
0500000US01011,1011,"Bullock County, Alabama",10877,*****
0500000US01013,1013,"Butler County, Alabama",20860,*****
0500000US01015,1015,"Calhoun County, Alabama",117614,*****
0500000US01017,1017,"Chambers County, Alabama",34375,*****
0500000US01019,1019,"Cherokee County, Alabama",25819,*****
0500000US01021,1021,"Chilton County, Alabama",43444,*****
0500000US01023,1023,"Choctaw County, Alabama",13953,*****
0500000US01025,1025,"Clarke County, Alabama",26046,*****
0500000US01027,1027,"Clay County, Alabama",14010,*****
0500000US01029,1029,"Cleburne County, Alabama",14881,*****
0500000US01031,1031,"Coffee County, Alabama",49221,*****
0500000US01033,1033,"Colbert County, Alabama",54478,*****
0500000US01035,1035,"Conecuh County, Alabama",13286,*****
0500000US01037,1037,"Coosa County, Alabama",11303,*****
0500000US01039,1039,"Covington County, Alabama",37736,*****
0500000US01041,1041,"Crenshaw County, Alabama",13938,*****
0500000US01043,1043,"Cullman County, Alabama",80246,*****
0500000US01045,1045,"Dale County, Alabama",49920,*****
0500000US01047,1047,"Dallas County, Alabama",43868,*****
0500000US01049,1049,"DeKalb County, Alabama",70608,*****
0500000US01051,1051,"Elmore County, Alabama",78641,*****
0500000US01053,1053,"Escambia County, Alabama",38081,*****
0500000US01055,1055,"Etowah County, Alabama",104216,*****
0500000US01057,1057,"Fayette County, Alabama",17361,*****
0500000US01059,1059,"Franklin County, Alabama",31532,*****
0500000US01061,1061,"Geneva County, Alabama",26646,*****
0500000US01063,1063,"Greene County, Alabama",9170,*****
0500000US01065,1065,"Hale County, Alabama",15972,*****
0500000US01067,1067,"Henry County, Alabama",17240,*****
0500000US01069,1069,"Houston County, Alabama",100310,*****
0500000US01071,1071,"Jackson County, Alabama",53357,*****
0500000US01073,1073,"Jefferson County, Alabama",657486,*****
0500000US01075,1075,"Lamar County, Alabama",14644,*****
0500000US01077,1077,"Lauderdale County, Alabama",92269,*****
0500000US01079,1079,"Lawrence County, Alabama",34250,*****
0500000US01081,1081,"Lee County, Alabama",137855,*****
0500000US01083,1083,"Limestone County, Alabama",80966,*****
0500000US01085,1085,"Lowndes County, Alabama",11538,*****
0500000US01087,1087,"Macon County, Alabama",21489,*****
0500000US01089,1089,"Madison County, Alabama",329299,*****
0500000US01091,1091,"Marengo County, Alabama",21130,*****
0500000US01093,1093,"Marion County, Alabama",30771,*****
